entity,in_degree,out_degree,max_severity,lateral_mv_score,node_type,data_source,mitre_tactic
LAPTOP-1MKMTVPM,34,0,3.0,2019.6,machine,SIEM,Unknown
ListBuckets,141,0,1.0,92.5,api_call,CLOUD,Initial Access
AssumeRole,4,0,2.0,29.6,api_call,CLOUD,Privilege Escalation
dsp-ms.dsp.lab,1,0,3.0,26.9,endpoint,EDR,Unknown
GetRestApis,16,0,1.0,12.8,api_call,CLOUD,Unknown
GetPolicy202224v2,5,0,1.0,12.4,api_call,CLOUD,Unknown
win-dc-807.attackrange.local,5,0,3.0,11.4,endpoint,EDR,Unknown
GetAccountPasswordPolicy,2,0,1.0,10.7,api_call,CLOUD,Unknown
win-dc-807,5,0,3.0,10.3,endpoint,EDR,Unknown
EC2AMAZ-N0JSFD5,5,0,3.0,10.1,endpoint,EDR,Unknown
GetUser,13,0,1.0,10.1,api_call,CLOUD,Unknown
GetBucketReplication,1,0,1.0,9.3,api_call,CLOUD,Unknown
GetBucketTagging,1,0,1.0,9.2,api_call,CLOUD,Unknown
GetBucketCors,1,0,1.0,9.2,api_call,CLOUD,Unknown
GetBucketLifecycle,1,0,1.0,9.2,api_call,CLOUD,Unknown
DescribeSnapshots,9,0,1.0,7.8,api_call,CLOUD,Unknown
EC2AMAZ-H0SHIJ3,3,0,3.0,7.8,endpoint,EDR,Unknown
CreateAccessKey,2,0,3.0,7.6,api_call,CLOUD,Persistence
CreateVolume,10,0,1.0,7.4,api_call,CLOUD,Unknown
CopySnapshot,8,0,1.0,6.8,api_call,CLOUD,Unknown
GetFunction202224v2,8,0,1.0,6.6,api_call,CLOUD,Unknown
GetUserPolicy,7,0,1.0,6.1,api_call,CLOUD,Unknown
GetMethod,1,0,1.0,6.0,api_call,CLOUD,Unknown
GetRestApi,5,0,1.0,5.8,api_call,CLOUD,Unknown
ListUsers,7,0,1.0,5.7,api_call,CLOUD,Unknown
ListAccountAliases,6,0,1.0,5.6,api_call,CLOUD,Unknown
ConsoleLogin,1,0,2.0,5.5,api_call,CLOUD,Initial Access
GetBucketPolicy,2,0,1.0,5.3,api_call,CLOUD,Unknown
DescribeInstances,5,0,1.0,5.3,api_call,CLOUD,Unknown
ListAccessKeys,3,0,1.0,5.0,api_call,CLOUD,Unknown
ListAliases202224,5,0,1.0,4.7,api_call,CLOUD,Unknown
GetAccountSummary,5,0,1.0,4.7,api_call,CLOUD,Unknown
ListRoles,5,0,1.0,4.7,api_call,CLOUD,Unknown
ListUserPolicies,5,0,1.0,4.6,api_call,CLOUD,Unknown
GetIntegration,3,0,1.0,4.4,api_call,CLOUD,Unknown
GetPolicyVersion,2,0,1.0,4.4,api_call,CLOUD,Unknown
GetResources,4,0,1.0,4.2,api_call,CLOUD,Unknown
GetStages,2,0,1.0,4.1,api_call,CLOUD,Unknown
ListVersionsByFunction202224,4,0,1.0,4.0,api_call,CLOUD,Unknown
DescribeTrails,1,0,1.0,3.9,api_call,CLOUD,Unknown
CreateLogStream,3,0,1.0,3.9,api_call,CLOUD,Unknown
GetBucketWebsite,2,0,1.0,3.8,api_call,CLOUD,Unknown
GetRolePolicy,2,0,1.0,3.8,api_call,CLOUD,Unknown
DescribeSnapshotAttribute,3,0,1.0,3.7,api_call,CLOUD,Unknown
DescribeDBInstances,3,0,1.0,3.6,api_call,CLOUD,Unknown
GetPolicy,3,0,1.0,3.6,api_call,CLOUD,Unknown
DescribeDBSecurityGroups,3,0,1.0,3.6,api_call,CLOUD,Unknown
DescribeInstanceStatus,3,0,1.0,3.6,api_call,CLOUD,Unknown
DescribeImages,3,0,1.0,3.6,api_call,CLOUD,Unknown
DescribeDBSnapshots,3,0,1.0,3.6,api_call,CLOUD,Unknown
GetAccountSettings08306,3,0,1.0,3.5,api_call,CLOUD,Unknown
ListPolicies,3,0,1.0,3.5,api_call,CLOUD,Unknown
ListMFADevices,1,0,1.0,3.4,api_call,CLOUD,Unknown
CreateFunction202224,1,0,1.0,3.3,api_call,CLOUD,Unknown
GetMethodResponse,1,0,1.0,3.2,api_call,CLOUD,Unknown
ListGroupsForUser,2,0,1.0,3.2,api_call,CLOUD,Unknown
CreateUser,2,0,1.0,3.2,api_call,CLOUD,Unknown
ListAttachedUserPolicies,2,0,1.0,3.2,api_call,CLOUD,Unknown
GetLoginProfile,1,0,1.0,3.1,api_call,CLOUD,Unknown
