entity,severity,apt_flag,source,optimal_playbook,q_value
LAPTOP-1MKMTVPM,3,1,SIEM,ISOLATE + ESCALATE,20.62
ListBuckets,1,1,CLOUD,LOG + CLOSE,2.0
AssumeRole,2,1,CLOUD,BLOCK IP + ALERT,11.8
dsp-ms.dsp.lab,3,1,EDR,ISOLATE + ESCALATE,20.62
GetRestApis,1,0,CLOUD,MONITOR + ENRICH,2.0
GetPolicy202224v2,1,0,CLOUD,MONITOR + ENRICH,2.0
win-dc-807.attackrange.local,3,0,EDR,MONITOR + ENRICH,8.12
GetAccountPasswordPolicy,1,0,CLOUD,MONITOR + ENRICH,2.0
win-dc-807,3,0,EDR,MONITOR + ENRICH,8.12
EC2AMAZ-N0JSFD5,3,0,EDR,MONITOR + ENRICH,8.12
GetUser,1,0,CLOUD,MONITOR + ENRICH,2.0
GetBucketReplication,1,0,CLOUD,MONITOR + ENRICH,2.0
GetBucketTagging,1,0,CLOUD,MONITOR + ENRICH,2.0
GetBucketCors,1,0,CLOUD,MONITOR + ENRICH,2.0
GetBucketLifecycle,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeSnapshots,1,0,CLOUD,MONITOR + ENRICH,2.0
EC2AMAZ-H0SHIJ3,3,0,EDR,MONITOR + ENRICH,8.12
CreateAccessKey,3,0,CLOUD,MONITOR + ENRICH,8.12
CreateVolume,1,0,CLOUD,MONITOR + ENRICH,2.0
CopySnapshot,1,0,CLOUD,MONITOR + ENRICH,2.0
GetFunction202224v2,1,0,CLOUD,MONITOR + ENRICH,2.0
GetUserPolicy,1,0,CLOUD,MONITOR + ENRICH,2.0
GetMethod,1,0,CLOUD,MONITOR + ENRICH,2.0
GetRestApi,1,0,CLOUD,MONITOR + ENRICH,2.0
ListUsers,1,0,CLOUD,MONITOR + ENRICH,2.0
ListAccountAliases,1,0,CLOUD,MONITOR + ENRICH,2.0
ConsoleLogin,2,0,CLOUD,BLOCK IP + ALERT,6.8
GetBucketPolicy,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeInstances,1,0,CLOUD,MONITOR + ENRICH,2.0
ListAccessKeys,1,0,CLOUD,MONITOR + ENRICH,2.0
ListAliases202224,1,0,CLOUD,MONITOR + ENRICH,2.0
GetAccountSummary,1,0,CLOUD,MONITOR + ENRICH,2.0
ListRoles,1,0,CLOUD,MONITOR + ENRICH,2.0
ListUserPolicies,1,0,CLOUD,MONITOR + ENRICH,2.0
GetIntegration,1,0,CLOUD,MONITOR + ENRICH,2.0
GetPolicyVersion,1,0,CLOUD,MONITOR + ENRICH,2.0
GetResources,1,0,CLOUD,MONITOR + ENRICH,2.0
GetStages,1,0,CLOUD,MONITOR + ENRICH,2.0
ListVersionsByFunction202224,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeTrails,1,0,CLOUD,MONITOR + ENRICH,2.0
CreateLogStream,1,0,CLOUD,MONITOR + ENRICH,2.0
GetBucketWebsite,1,0,CLOUD,MONITOR + ENRICH,2.0
GetRolePolicy,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeSnapshotAttribute,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeDBInstances,1,0,CLOUD,MONITOR + ENRICH,2.0
GetPolicy,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeDBSecurityGroups,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeInstanceStatus,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeImages,1,0,CLOUD,MONITOR + ENRICH,2.0
DescribeDBSnapshots,1,0,CLOUD,MONITOR + ENRICH,2.0
GetAccountSettings08306,1,0,CLOUD,MONITOR + ENRICH,2.0
ListPolicies,1,0,CLOUD,MONITOR + ENRICH,2.0
ListMFADevices,1,0,CLOUD,MONITOR + ENRICH,2.0
CreateFunction202224,1,0,CLOUD,MONITOR + ENRICH,2.0
GetMethodResponse,1,0,CLOUD,MONITOR + ENRICH,2.0
ListGroupsForUser,1,0,CLOUD,MONITOR + ENRICH,2.0
CreateUser,1,0,CLOUD,MONITOR + ENRICH,2.0
ListAttachedUserPolicies,1,0,CLOUD,MONITOR + ENRICH,2.0
GetLoginProfile,1,0,CLOUD,MONITOR + ENRICH,2.0
arn:aws:iam::811596193553:root,3,0,CLOUD,MONITOR + ENRICH,6.5
unknown,2,0,CLOUD,CONTAIN + INVESTIGATE,5.0
