duration,protocol_type,service,flag,src_bytes,dst_bytes,label,anomaly_flag,anomaly_score,malware_family_cluster,phishing_score,phishing_flag,zero_day_threat_score,zero_day_flag
242,tcp,telnet,SF,504,27200,unknown,1,-0.1111,-1,1.0,1,1.0,1
804,tcp,telnet,SF,1589,36386,unknown,1,-0.0969,-1,1.0,1,1.0,1
1776,tcp,telnet,SF,3061,54942,unknown,1,-0.1952,-1,1.0,1,1.0,1
3054,tcp,telnet,SF,777,124974,unknown,1,-0.0929,-1,0.99,1,0.997,1
184,tcp,telnet,SF,2923,5285,unknown,1,-0.1147,-1,0.98,1,0.994,1
135,tcp,telnet,SF,353,5769,unknown,1,-0.1231,-1,0.97,1,0.991,1
89,tcp,telnet,SF,3750,27510,unknown,1,-0.1094,-1,0.97,1,0.991,1
192,tcp,telnet,SF,1713,18570,unknown,1,-0.1167,-1,0.97,1,0.991,1
1419,tcp,telnet,SF,46134,46626,unknown,1,-0.0899,-1,0.96,1,0.988,1
988,tcp,telnet,SF,1773,32209,unknown,1,-0.1121,-1,0.96,1,0.988,1
293,tcp,telnet,SF,2773,41955,unknown,1,-0.113,-1,0.95,1,0.985,1
126,tcp,ftp,SF,644,1876,unknown,1,-0.0202,-1,0.95,1,0.985,1
0,tcp,finger,S0,0,0,unknown,1,-0.1347,-1,0.95,1,0.985,1
314,tcp,telnet,SF,2602,3167,unknown,1,-0.0701,-1,0.95,1,0.985,1
84,tcp,telnet,SF,2742,5433,unknown,1,-0.0419,-1,0.95,1,0.985,1
0,tcp,finger,S0,0,0,unknown,1,-0.1345,-1,0.95,1,0.985,1
0,tcp,finger,S0,0,0,unknown,1,-0.1347,-1,0.95,1,0.985,1
23,tcp,ftp,SF,146,650,unknown,1,-0.0226,-1,0.94,1,0.982,1
0,tcp,finger,S0,0,0,unknown,1,-0.103,-1,0.94,1,0.982,1
69,tcp,telnet,SF,2458,223095,unknown,1,-0.0584,-1,0.94,1,0.982,1
1964,tcp,telnet,SF,3760,29364,unknown,1,-0.1208,-1,0.93,1,0.979,1
75,tcp,telnet,SF,277,1087,unknown,1,-0.0799,-1,0.93,1,0.979,1
0,tcp,private,S1,2,834163,unknown,1,-0.0521,-1,0.92,1,0.976,1
2224,tcp,telnet,SF,3548,37496,unknown,1,-0.1162,-1,0.91,1,0.973,1
0,tcp,finger,S0,0,0,unknown,1,-0.0396,-1,0.91,1,0.973,1
0,tcp,finger,S0,0,0,unknown,1,-0.0181,-1,0.91,1,0.973,1
84,tcp,telnet,SF,277,1089,unknown,1,-0.0601,-1,0.9,1,0.97,1
73,tcp,telnet,SF,3222,4004,unknown,1,-0.0211,-1,0.89,1,0.967,1
0,tcp,X11,S1,286040,383476,unknown,1,-0.1002,-1,0.89,1,0.967,1
99,tcp,ftp,SF,4455,7403,unknown,1,-0.0035,-1,0.89,1,0.967,1
54,tcp,telnet,SF,3256,36458,unknown,1,-0.0672,-1,0.87,1,0.961,1
73,tcp,telnet,SF,3741,25423,unknown,1,-0.0376,-1,0.87,1,0.961,1
42689,tcp,smtp,S2,0,0,unknown,1,-0.0306,-1,0.86,1,0.958,1
38701,tcp,smtp,S2,0,0,unknown,1,-0.0328,-1,0.86,1,0.958,1
12931,tcp,telnet,SF,1164,160726,unknown,1,-0.0902,-1,0.85,1,0.955,1
0,tcp,finger,S0,0,0,unknown,1,-0.027,-1,0.85,1,0.955,1
148,tcp,ftp,SF,133,579,unknown,1,-0.004,-1,0.84,1,0.952,1
16500,tcp,telnet,SF,1256,182830,unknown,1,-0.0985,-1,0.84,1,0.952,1
28,tcp,ftp_data,SF,6291668,0,unknown,1,-0.0183,-1,0.78,1,0.934,1
111,tcp,telnet,SF,336,152292,unknown,1,-0.0055,-1,0.77,1,0.931,1
317,tcp,X11,SF,62825648,90476,unknown,1,-0.0285,-1,0.71,0,0.913,1
433,tcp,X11,SF,31645608,207796,unknown,1,-0.0153,-1,0.7,0,0.91,1
57715,tcp,X11,SF,39224,511712,unknown,1,-0.0215,-1,0.68,0,0.904,1
40,tcp,telnet,SF,258,2625,unknown,1,-0.0072,-1,0.66,0,0.898,1
35,tcp,telnet,SF,660,343195,unknown,1,-0.0374,-1,0.61,0,0.883,1
0,icmp,ecr_i,SF,1480,0,unknown,1,-0.0248,-1,0.6,0,0.88,1
0,icmp,ecr_i,SF,1480,0,unknown,1,-0.0276,-1,0.6,0,0.88,1
0,icmp,ecr_i,SF,1480,0,unknown,1,-0.0229,-1,0.59,0,0.877,1
0,tcp,http,REJ,177,307,Probe,1,-0.1516,-99,1.0,1,0.8,1
0,tcp,http,S0,24,0,DoS,1,-0.0674,-99,1.0,1,0.8,1
1,tcp,private,REJ,43,0,DoS,1,-0.0764,-99,1.0,1,0.8,1
2,icmp,ftp,S0,375,185,Probe,1,-0.1579,-99,1.0,1,0.8,1
2,udp,smtp,REJ,499,430,Probe,1,-0.1444,-99,1.0,1,0.8,1
0,icmp,private,REJ,4,0,DoS,1,-0.075,-99,1.0,1,0.8,1
164,tcp,ftp,SF,33354,4367,R2L,1,-0.1202,-99,1.0,1,0.8,1
201,tcp,ssh,RSTO,9047,2646,R2L,1,-0.0733,-99,1.0,1,0.8,1
2,icmp,http,REJ,160,138,Probe,1,-0.1563,-99,1.0,1,0.8,1
0,tcp,http,S0,30,0,DoS,1,-0.0893,-99,1.0,1,0.8,1
41,tcp,ftp,SF,3982,2072,U2R,1,-0.1009,-99,1.0,1,0.8,1
39,tcp,telnet,SF,9514,4504,U2R,1,-0.0638,-99,1.0,1,0.8,1
1,icmp,private,S0,433,342,Probe,1,-0.1312,-99,1.0,1,0.8,1
0,tcp,private,REJ,0,0,DoS,1,-0.0793,-99,1.0,1,0.8,1
2,udp,http,REJ,448,185,Probe,1,-0.1265,-99,1.0,1,0.8,1
3,icmp,http,REJ,433,298,Probe,1,-0.1629,-99,1.0,1,0.8,1
0,tcp,private,S0,53,0,DoS,1,-0.0937,-99,1.0,1,0.8,1
28,tcp,ftp,SF,6576,4077,U2R,1,-0.1121,-99,1.0,1,0.8,1
1,udp,ftp,S0,86,387,Probe,1,-0.1434,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,74,0,DoS,1,-0.0843,-99,1.0,1,0.8,1
3,tcp,private,S0,136,360,Probe,1,-0.1142,-99,1.0,1,0.8,1
1,icmp,private,REJ,67,0,DoS,1,-0.0908,-99,1.0,1,0.8,1
0,tcp,http,REJ,80,0,DoS,1,-0.0941,-99,1.0,1,0.8,1
1,icmp,http,S0,3,0,DoS,1,-0.0762,-99,1.0,1,0.8,1
2,udp,ftp,SF,67,354,Probe,1,-0.1642,-99,1.0,1,0.8,1
0,icmp,ecr_i,REJ,66,0,DoS,1,-0.0922,-99,1.0,1,0.8,1
1,icmp,http,S0,18,0,DoS,1,-0.0914,-99,1.0,1,0.8,1
114,tcp,ftp,SF,8557,3760,R2L,1,-0.0949,-99,1.0,1,0.8,1
1,icmp,http,S0,3,0,DoS,1,-0.0914,-99,1.0,1,0.8,1
0,icmp,private,S0,88,0,DoS,1,-0.0766,-99,1.0,1,0.8,1
0,udp,ftp,REJ,252,78,Probe,1,-0.1245,-99,1.0,1,0.8,1
4,udp,http,S0,198,182,Probe,1,-0.1487,-99,1.0,1,0.8,1
188,tcp,telnet,SF,36609,2076,R2L,1,-0.0655,-99,1.0,1,0.8,1
13,tcp,telnet,SF,1207,2467,U2R,1,-0.1433,-99,1.0,1,0.8,1
4,icmp,http,REJ,213,270,Probe,1,-0.1189,-99,1.0,1,0.8,1
1,icmp,ecr_i,S0,47,0,DoS,1,-0.0919,-99,1.0,1,0.8,1
0,tcp,ecr_i,S0,24,0,DoS,1,-0.0936,-99,1.0,1,0.8,1
0,tcp,http,S0,8,0,DoS,1,-0.0838,-99,1.0,1,0.8,1
2,udp,private,S0,391,31,Probe,1,-0.1386,-99,1.0,1,0.8,1
168,tcp,smtp,RSTO,21368,462,R2L,1,-0.0798,-99,1.0,1,0.8,1
1,tcp,smtp,S0,401,260,Probe,1,-0.1268,-99,1.0,1,0.8,1
